ID,Title,Price,Region,Link
3284515,Батончик Take a Bitey фруктово-ягодный яблоко-вишня 25г с 2лет,64.9 RUB,MOW,https://www.detmir.ru/product/index/id/3284515/
3284544,Снек Take a Bitey паффы мультизлаковые банан 20г,67.9 RUB,MOW,https://www.detmir.ru/product/index/id/3284544/
3284543,Снек Take a Bitey паффы мультизлаковые морковь 20г,67.9 RUB,MOW,https://www.detmir.ru/product/index/id/3284543/
3284516,Батончик Take a Bitey овсяно-фруктовый яблоко-банан 30г с 3лет,64.9 RUB,MOW,https://www.detmir.ru/product/index/id/3284516/
3284517,Батончик Take a Bitey овсяно-фруктовый яблоко-клубника 30г с 3лет,64.9 RUB,MOW,https://www.detmir.ru/product/index/id/3284517/
3277067,Снеки Зеленика сушеная морковь 50г,115.9 RUB,MOW,https://www.detmir.ru/product/index/id/3277067/
3618243,Батончик Take a Bitey овсяно-фруктовый черная смородина 30г с 3лет,54.9 RUB,MOW,https://www.detmir.ru/product/index/id/3618243/
3277206,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,129.9 RUB,MOW,https://www.detmir.ru/product/index/id/3277206/
3433301,Хлебцы Dr. Korner кукурузно-рисовые карамельные без глютена 90г,67.9 RUB,MOW,https://www.detmir.ru/product/index/id/3433301/
3618241,Батончик Take a Bitey фруктово-ягодный яблоко-малина 25гр с 2лет,58.9 RUB,MOW,https://www.detmir.ru/product/index/id/3618241/
3433298,Хлебцы Dr. Korner кукурузно-рисовые с прованскими травами без глютена 100г,73.9 RUB,MOW,https://www.detmir.ru/product/index/id/3433298/
3277070,Снеки Зеленика сушеный батат 50г,178.9 RUB,MOW,https://www.detmir.ru/product/index/id/3277070/
3433306,Хлебцы Jr. Korner мини хрустящие рисовые с бананом 30г,38.9 RUB,MOW,https://www.detmir.ru/product/index/id/3433306/
3286182,Печенье Bombbar овсяное ягодный микс 40г,48.9 RUB,MOW,https://www.detmir.ru/product/index/id/3286182/
3618242,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,58.9 RUB,MOW,https://www.detmir.ru/product/index/id/3618242/
